Warning: Ignoring XDG_SESSION_TYPE=wayland on Gnome. Use QT_QPA_PLATFORM=wayland to run on Wayland anyway.
[00132] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00133] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00134] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00135] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00136] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00137] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00138] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00139] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00140] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00141] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00142] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00143] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00144] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00145] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00146] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00147] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00148] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00149] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00150] DAY      EO=2 IR=1 fused[EO+IR:0.62] tracks[#1]
[00151] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00152] DAY      EO=1 IR=1 fused[EO+IR:0.61] tracks[#1]
[00153] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00154] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00155] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00156] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00157] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00158] DAY      EO=1 IR=1 fused[EO+IR:0.61] tracks[#1]
[00159] DAY      EO=1 IR=1 fused[EO+IR:0.60] tracks[#1]
[00160] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00161] DAY      EO=1 IR=1 fused[EO+IR:0.61] tracks[#1]
[00162] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00163] DAY      EO=1 IR=1 fused[EO+IR:0.61] tracks[#1]
[00164] DAY      EO=1 IR=1 fused[EO+IR:0.61] tracks[#1]
[00165] DAY      EO=1 IR=1 fused[EO+IR:0.60] tracks[#1]
[00166] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00167] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00168] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00169] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00170] DAY      EO=1 IR=1 fused[EO+IR:0.60] tracks[#1]
[00171] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00172] DAY      EO=1 IR=1 fused[EO+IR:0.60] tracks[#1]
[00173] DAY      EO=1 IR=1 fused[EO+IR:0.61] tracks[#1]
[00174] DAY      EO=1 IR=1 fused[EO+IR:0.61] tracks[#1]
[00175] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00176] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00177] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00178] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00179] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00180] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00181] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00182] DAY      EO=1 IR=1 fused[EO+IR:0.62] tracks[#1]
[00183] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00184] DAY      EO=1 IR=1 fused[EO+IR:0.63] tracks[#1]
[00185] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00186] DAY      EO=1 IR=1 fused[EO+IR:0.64] tracks[#1]
[00187] DAY      EO=1 IR=1 fused[EO+IR:0.65] tracks[#1]
Processed 188 frames | 188 with fused det | 186 with track
