[00076] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=77 r=nanpx]
[00077] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=78 r=nanpx]
[00078] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=79 r=nanpx]
[00079] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=80 r=nanpx]
[00080] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=81 r=nanpx]
[00081] DAY      meanV=173.0 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=82 r=nanpx]
[00082] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=83 r=nanpx]
[00083] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=84 r=nanpx]
[00084] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=85 r=nanpx]
[00085] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=86 r=nanpx]
[00086] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=87 r=nanpx]
[00087] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=88 r=nanpx]
[00088] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=89 r=nanpx]
[00089] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=90 r=nanpx]
[00090] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=91 r=nanpx]
[00091] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=92 r=nanpx]
[00092] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=93 r=nanpx]
[00093] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=94 r=nanpx]
[00094] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=95 r=nanpx]
[00095] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=96 r=nanpx]
[00096] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=97 r=nanpx]
[00097] DAY      meanV=172.9 EO=1 IR=1 | fused[-] | tracks[-] reg[warmup n=98 r=nanpx]
