[00098] DAY      meanV=172.9 EO=1 IR=1 | fused[EO+IR:0.62] | tracks[#1@(142,782)] reg[LOCKED n=42 r=nanpx]
[00099] DAY      meanV=172.9 EO=1 IR=1 | fused[EO+IR:0.62] | tracks[#1@(142,781)] reg[LOCKED n=43 r=nanpx]
[00100] DAY      meanV=172.9 EO=1 IR=1 | fused[EO+IR:0.62] | tracks[#1@(142,781)] reg[LOCKED n=44 r=nanpx]
[00101] DAY      meanV=172.9 EO=4 IR=1 | fused[EO+IR:0.62] | tracks[#1@(143,781)] reg[LOCKED n=44 r=nanpx]
[00102] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.61] | tracks[#1@(141,781)] reg[LOCKED n=44 r=nanpx]
[00103] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.60] | tracks[#1@(140,781)] reg[LOCKED n=44 r=nanpx]
[00104] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.61] | tracks[#1@(142,780)] reg[LOCKED n=44 r=nanpx]
[00105] DAY      meanV=172.9 EO=3 IR=1 | fused[EO+IR:0.62] | tracks[#1@(142,780)] reg[LOCKED n=44 r=nanpx]
[00106] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.61] | tracks[#1@(141,780)] reg[LOCKED n=44 r=nanpx]
[00107] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.62] | tracks[#1@(141,780)] reg[LOCKED n=44 r=nanpx]
[00108] DAY      meanV=172.9 EO=3 IR=1 | fused[EO+IR:0.62] | tracks[#1@(142,780)] reg[LOCKED n=44 r=nanpx]
[00109] DAY      meanV=172.9 EO=3 IR=1 | fused[EO+IR:0.63] | tracks[#1@(141,779)] reg[LOCKED n=44 r=nanpx]
[00110] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[#1@(141,779)] reg[LOCKED n=44 r=nanpx]
[00111] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.64] | tracks[#1@(140,779)] reg[LOCKED n=44 r=nanpx]
[00112] DAY      meanV=172.9 EO=1 IR=1 | fused[EO+IR:0.65] | tracks[#1@(140,779)] reg[LOCKED n=45 r=nanpx]
[00113] DAY      meanV=172.9 EO=4 IR=1 | fused[EO+IR:0.65] | tracks[#1@(140,778)] reg[LOCKED n=45 r=nanpx]
[00114] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.65] | tracks[#1@(140,778)] reg[LOCKED n=45 r=nanpx]
[00115] DAY      meanV=172.9 EO=3 IR=1 | fused[EO+IR:0.65] | tracks[#1@(139,777)] reg[LOCKED n=45 r=nanpx]
[00116] DAY      meanV=172.9 EO=3 IR=1 | fused[EO+IR:0.64] | tracks[#1@(140,777)] reg[LOCKED n=45 r=nanpx]
[00117] DAY      meanV=172.9 EO=4 IR=1 | fused[EO+IR:0.63] | tracks[#1@(140,776)] reg[LOCKED n=45 r=nanpx]
[00118] DAY      meanV=172.9 EO=2 IR=1 | fused[EO+IR:0.63] | tracks[#1@(141,775)] reg[LOCKED n=45 r=nanpx]
